"Order Split","Order Split"
"Order Split Rule","Order Split Rule"
"Package Max Weight","Package Max Weight"
"Package Max Price","Package Max Price"
"Package Max Quantity","Package Max Quantity"
"Shipping Price Formula","Shipping Price Formula"
"Tracking Service","Tracking Service"
"MAX Qty","MAX Qty"
"MAX Weight","MAX Weight"
"Can NOT Mix","Can NOT Mix"
"(Main Order)","(Main Order)"
"Child Orders","Child Orders"
"(Child Order)","(Child Order)"
"Select shipping company your perfer","Select shipping company your perfer"
"Your Package","Your Package"
"Show All Packages","Show All Packages"
"Total Shipping","Total Shipping"
"Your order will be split into %s packages.","Your order will be split into %s packages."
"Some Products Can Not be delivered, Please remove following products and try again.","Some Products Can Not be delivered, Please remove following products and try again."
"The shipping you selected is not available for your country.","The shipping you selected is not available for your country."
"No available Shipping. Please try change your shipping.","No available Shipping. Please try change your shipping."
